ICD10,PHECODE,Excl. Phecodes,Excl. Phenotypes
N81.1,618.1,617-618.99, prolapse/fistula and other disorders often associated with childbirth
Q24.9,747.1,747-747.99," congenital anomalies, circulatory and cardiac"
B46.3,117,110-118.99, Mycoses
I97.2,450,450-450.99, Noninfectious disorders of lymphatic channels
Q52.4,751.11,750-751.99," congenital anomalies of gi, urinary tract"
G40.8,345.1,"330-337.99, 341-349.99", hereditary/degenerative nervous conditions; other diseases of CNS
S74.2,907,905-909.99,"Late effects of injuries, poisonings, toxic effects, and other external causes"
G45.2,433.31,430-438.99,CEREBROVASCULAR DISEASE
Q05.8,752.11,752-754.99," congenital anomalies of nervous system, spine"
Q89.3,759,756-759.99, All other congenital anomalies
H44,360,360-365.99, Degenerative disorders of the eye
S00.7,915,910-919.99,"superficial, contusion, crushing injuries"
C30.0,149.9,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx"
I07.0,394.7,394-399.99, heart valve disorders
C05.2,145,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx"
G83.1,344,"330-337.99, 341-349.99", hereditary/degenerative nervous conditions; other diseases of CNS
D31.2,224,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system"
T18.5,1001,,
S92.4,801,800-809.99, Fractures
M20.5,735.2,735-739.99, Acquired deformities
S57.8,1006,,
J21.0,483,480-488.99, Pneumonia and influenza
Q40.8,750.1,750-751.99," congenital anomalies of gi, urinary tract"
M79.6,773,773-773.99, Pain in limb
A40.3,38.2,,
N71.1,614.4,614-616.99,INFLAMMATORY DISEASE OF FEMALE PELVIC ORGANS
T49.7,976,960-979.99,"Poisoning By Drugs, Medicinal And Biological Substances"
H62.1,380.1,380-380.99, disorders of external ear
O90.9,674,670-677.99,COMPLICATIONS OF THE PUERPERIUM
T36.4,960,960-979.99,"Poisoning By Drugs, Medicinal And Biological Substances"
T67.6,1014,,
I07.2,394.7,394-399.99, heart valve disorders
T51,981,981-989.99, Toxic effects of substances chiefly nonmedicinal as to source
T36.4,960.1,960-979.99,"Poisoning By Drugs, Medicinal And Biological Substances"
S57.8,1011,,
B44.1,117.4,110-118.99, Mycoses
B69.9,134.1,130-136.99, Other infections; including parasitic
L02.2,686.1,680-686.99, Skin and subcutaneous tissue infections
S00.8,915,910-919.99,"superficial, contusion, crushing injuries"
F10,316,316-319.99, Substance-related disorders
J85.1,480.5,480-488.99, Pneumonia and influenza
J38.3,473,470-479.99, other/chronic upper respiratory disease
H57.9,379,375-379.99, other eye disorders
F10.7,317.1,316-319.99, Substance-related disorders
B67.0,134.1,130-136.99, Other infections; including parasitic
Q75,749.2,748-749.99," congenital anomalies of respiratory system, face and neck"
S74.9,907,905-909.99,"Late effects of injuries, poisonings, toxic effects, and other external causes"
D29.9,222,"185-187.99, 222-222.99", cancer/benign neoplasm of male genital organs
S45.0,1007,,
O86.2,647.1,647-647.99, Infectious and parasitic complications affecting pregnancy
P76.8,656.6,656-656.99,Other and unspecified perinatal conditions
M85.9,743.9,743-744.99," osteopenia, osteoporosis, pathological fractures"
H60-H62.9,380,380-380.99, disorders of external ear
G24.0,333.4,"330-337.99, 341-349.99", hereditary/degenerative nervous conditions; other diseases of CNS
M06.0,714.1,"714-716.00, 696-696.99", Autoimmune arthritis and psoriasis
I11.0,401.21,401-405.99,HYPERTENSIVE DISEASE
O71.2,619.2,619-619.99, Other noninflammatory female genital disorders
A41.1,38.2,,
D44.3,199,195-199.99,"Neoplasms: malignant, secondary or uncertain"
Z83.0,1100,,
A52.0,90,,
R23.2,782.6,782-782.99,Symptoms involving skin and other integumentary tissue
S22.5,809,800-809.99, Fractures
B89,136,130-136.99, Other infections; including parasitic
M67.0,727.7,725-729.99,"Rheumatism, Excluding The Back"
F84.1,313.3,312-315.99,Developmental/behavioral disorders
S83.5,1009,,
G93.7,331,"330-337.99, 341-349.99", hereditary/degenerative nervous conditions; other diseases of CNS
L11.8,701,700-701.99, hypertrophic skin conditions
S05.4,1001,,
B18.0,70.2,,
B44,117.4,110-118.99, Mycoses
H54.1,367.9,367-367.99,Blindness and low vision
Q35.1,749.1,747-759.99,
C54.1,182,"174-184.99, 218-218.99", cancer of female genital organs; benign neoplasm of uterus
A19,10,,
E27.8,255,251-259.99,Other endocrine disorders
F14.1,316,316-319.99, Substance-related disorders
L03.2,681.2,680-686.99, Skin and subcutaneous tissue infections
T69,1014,,
C00.2,145.1,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx"
Q74.3,756,754-756.99, congenital musculoskeletal anomalies
C08,145.3,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx"
D41,199,195-199.99,"Neoplasms: malignant, secondary or uncertain"
S65,1007,,
E13.6,250.2,249-250.99,DIABETES
I09.2,420.22,420-425.99, Other peri-; endo-; and myocarditis
R32,599.4,599-599.99, Other symptoms/disorders or the urinary system
D48.2,199,195-199.99,"Neoplasms: malignant, secondary or uncertain"
Q87.0,755.3,754-756.99, congenital musculoskeletal anomalies
C44.9,172.2,172-173.99,Malignant neoplasm of skin
G24.9,333.4,"330-337.99, 341-349.99", hereditary/degenerative nervous conditions; other diseases of CNS
D46.7,200,200-204.99, cancer of lymphatic and hematopoietic tissue
H93.1,389.4,387-389.99, Hearing loss and related disorders
D05,174.1,"174-184.99, 610-610.99", cancer of female genital organs; breast dysplasia
C57.4,184.1,"174-184.99, 220-221.99", cancer of female genital organs; benign neoplasm of female genital organs
H95.0,385.3,381-385.99, otitis media and related conditions
I78,448,440-449.99,"DISEASES OF ARTERIES, ARTERIOLES, AND CAPILLARIES"
T36.7,960,960-979.99,"Poisoning By Drugs, Medicinal And Biological Substances"
Q87.0,749.2,748-749.99," congenital anomalies of respiratory system, face and neck"
F64.1,302,295-306.99, psychological disorders
C75.1,194,"193-194.99, 226-227.99"," Cancer/benign tumor of thyroid gland, other endocrine glands"
D17.7,214,214-215.99,Lipoma and Other benign neoplasm of connective and other soft tissue
H11.9,372,369-374.99, infection/inflammation of eye
P26.0,656.2,656-656.99,Other and unspecified perinatal conditions
F52,302,295-306.99, psychological disorders
I23.0,411.2,410-414.99,ISCHEMIC HEART DISEASE
S90.8,915,910-919.99,"superficial, contusion, crushing injuries"
R85,1010,,
T31.2,1000,,
R50.9,783,783-783.99, fever
X30-X39.9,1014,,
M84.9,733,730-739.99,"OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
T28,1000,,
N36.9,599,599-599.99, Other symptoms/disorders or the urinary system
B00.1,54,,
F25.8,295.1,295-306.99, psychological disorders
A66.7,130,130-136.99, Other infections; including parasitic
S82.7,800,800-809.99, Fractures
T65.8,989,981-989.99, Toxic effects of substances chiefly nonmedicinal as to source
R25,350.1,350-350.99," Other symptoms, reflex"
D04.2,172.3,172-173.99,Malignant neoplasm of skin
C17,159.2,"140-159.99, 210-211.99", cancer/benign neoplasm of gi tract
P13,665,660-669.99,COMPLICATIONS OCCURRING MAINLY IN THE COURSE OF LABOR AND DELIVERY
O08.3,639,634-639.99," miscarriage, early labor, hemorrhage"
R82.9,598.9,598-598.99, Nonspecific findings on examination of urine
Q65.4,755.61,754-756.99, congenital musculoskeletal anomalies
S89.9,1009,,
A31.1,686,680-686.99, Skin and subcutaneous tissue infections
Q83.2,612.3,610-613.99, nonmalignant breast conditions
D81.1,279.1,279-279.99,Other Immune Disorders
G51.3,352.2,351-355.99, mononeuritis and nerve lesions
L44.9,689,689-689.99, Other skin disorders NOS
N20.0,594.1,594-595.99, urinary calculus
H50.9,378.1,375-379.99, other eye disorders
L50.2,947,930-949.99, allergic reactions
Q27.1,747.2,747-747.99," congenital anomalies, circulatory and cardiac"
H50.0,378.1,375-379.99, other eye disorders
N32.3,596,595-597.99, other diseases of urinary system
Q33.8,748,748-749.99," congenital anomalies of respiratory system, face and neck"
R63.2,260.7,260-264.99,Nutritional deficiencies
F41.3,300.1,295-306.99, psychological disorders
H16.8,370,369-374.99, infection/inflammation of eye
G23.9,333.8,"330-337.99, 341-349.99", hereditary/degenerative nervous conditions; other diseases of CNS
M43.2,721.8,720-724.99,DORSOPATHIES
I95.1,458.1,458-459.99, other circulatory symptoms/findings/disorders
E63.0,263,260-264.99,Nutritional deficiencies
K56.1,560.4,555-564.99, noninfective gastrointestinal disorders
P54.6,656.4,656-656.99,Other and unspecified perinatal conditions
T59.7,987,981-989.99, Toxic effects of substances chiefly nonmedicinal as to source
B90.8,10,,
G06.0,324,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
Q87.8,759,756-759.99, All other congenital anomalies
P12.2,665,660-669.99,COMPLICATIONS OCCURRING MAINLY IN THE COURSE OF LABOR AND DELIVERY
M43.2,724.9,720-724.99,DORSOPATHIES
F20.1,295.1,295-306.99, psychological disorders
S75.9,1007,,
T90.2,819,816-819.99, Intracranial injury
M96.0,858,850-859.99, Complications
Z73,389,387-389.99, Hearing loss and related disorders
K40-K46.9,550,550-550.99, Abdominal hernia
R09.8,429.3,428-429.99, Heart failure
Q60.3,751.22,750-751.99," congenital anomalies of gi, urinary tract"
P76,656.6,656-656.99,Other and unspecified perinatal conditions
I67,433.3,430-438.99,CEREBROVASCULAR DISEASE
N94.1,625.1,624-625.99, symptoms involving female genital tract
E03.1,244.5,240-246.99,DISORDERS OF THYROID GLAND
E00.1,244.5,240-246.99,DISORDERS OF THYROID GLAND
J15.6,480.1,480-488.99, Pneumonia and influenza
T47.4,973,960-979.99,"Poisoning By Drugs, Medicinal And Biological Substances"
I35.1,394.3,394-399.99, heart valve disorders
E71.0,270.1,269-270.99, Disorders of amino-acid transport/metabolism
D82.8,279.8,279-279.99,Other Immune Disorders
H52.7,367,367-367.99,Blindness and low vision
S52.7,803,800-809.99, Fractures
L41.1,696.2,690-697.99, Other inflammatory condition of skin
C81,201,200-204.99, cancer of lymphatic and hematopoietic tissue
S32.2,805,800-809.99, Fractures
B76.9,134,130-136.99, Other infections; including parasitic
G46.5,433,430-438.99,CEREBROVASCULAR DISEASE
G43,340,339-340.99,Headache; including migraine
D68.0,286.11,286-287.99,COAGULATION OR HEMORRHAGIC DISEASES
L88,686.5,680-686.99, Skin and subcutaneous tissue infections
S37.6,1008,,
T74.3,1015,,
O46.8,635.2,634-636.99,complications of pregnancy
P10.9,665,660-669.99,COMPLICATIONS OCCURRING MAINLY IN THE COURSE OF LABOR AND DELIVERY
G52.7,352,351-355.99, mononeuritis and nerve lesions
K01.1,520.2,520-526.99, Disorders of teeth and jaw
S68.9,872,870-879.99, Open wound
K41.4,550.3,550-550.99, Abdominal hernia
S11.8,870.6,870-879.99, Open wound
S65.9,1007,,
O20,636.3,634-636.99,complications of pregnancy
O28.1,656,656-656.99,Other and unspecified perinatal conditions
H61.3,380,380-380.99, disorders of external ear
Q62.7,751.2,750-751.99," congenital anomalies of gi, urinary tract"
R01.0,396,394-399.99, heart valve disorders
H49.3,378.5,375-379.99, other eye disorders
F45.0,303.4,295-306.99, psychological disorders
E76.0,271.9,271-271.99,Disorders of carbohydrate transport &amp; metabolism
C25.8,157,"140-159.99, 210-211.99", cancer/benign neoplasm of gi tract
A94,79,,
L85.0,701.1,700-701.99, hypertrophic skin conditions
M70.7,726.1,725-729.99,"Rheumatism, Excluding The Back"
T33.3,1014,,
J20.8,483,480-488.99, Pneumonia and influenza
K10.9,526.9,520-526.99, Disorders of teeth and jaw
W40,1014,,
O65.4,652,652-654.99,Other and unspecified complications of birth affecting mother
O28.9,656,656-656.99,Other and unspecified perinatal conditions
T49.9,976,960-979.99,"Poisoning By Drugs, Medicinal And Biological Substances"
L57.8,938.2,930-949.99, allergic reactions
B71.0,134.1,130-136.99, Other infections; including parasitic
O64.0,652,652-654.99,Other and unspecified complications of birth affecting mother
K71.5,70.4,,
A15.2,10,,
B25.8,79,,
G03.8,1011,,
K41.9,550.3,550-550.99, Abdominal hernia
B51.9,133,130-136.99, Other infections; including parasitic
H61.2,380.4,380-380.99, disorders of external ear
P96.2,656,656-656.99,Other and unspecified perinatal conditions
G30.9,290.11,290-292.99, dementia and related cognitive disorders/symptoms
C69.1,190,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system"
P10.4,665,660-669.99,COMPLICATIONS OCCURRING MAINLY IN THE COURSE OF LABOR AND DELIVERY
V39.5,1011,,
F06.5,290.3,290-292.99, dementia and related cognitive disorders/symptoms
K71.5,573,570-573.99, Liver disease
Q84.8,757,756-759.99, All other congenital anomalies
D50.0,280.2,280-285.99,Anemias
F15.0,316,316-319.99, Substance-related disorders
A60.1,54,,
K04.2,522.1,520-526.99, Disorders of teeth and jaw
S25.0,1007,,
S60.7,915,910-919.99,"superficial, contusion, crushing injuries"
H65.4,381.1,381-385.99, otitis media and related conditions
E61.0,262,260-264.99,Nutritional deficiencies
Q73.1,755.4,754-756.99, congenital musculoskeletal anomalies
E06.3,245.21,240-246.99,DISORDERS OF THYROID GLAND
B02.3,369.2,369-374.99, infection/inflammation of eye
F60.7,301,295-306.99, psychological disorders
O89.6,674,670-677.99,COMPLICATIONS OF THE PUERPERIUM
Q50.0,751.11,750-751.99," congenital anomalies of gi, urinary tract"
E87.6,276.14,276-276.99,"Disorders of fluid, electrolyte, and acid-base balance"
D69.3,287.31,286-287.99,COAGULATION OR HEMORRHAGIC DISEASES
E70.8,270.1,269-270.99, Disorders of amino-acid transport/metabolism
O92.4,676,670-677.99,COMPLICATIONS OF THE PUERPERIUM
J81,503,500-509.99, Pneumoconioses and other lung diseases
F07.9,291.4,290-292.99, dementia and related cognitive disorders/symptoms
K71.7,70.9,,
T13.6,872,870-879.99, Open wound
N90.5,624.2,624-625.99, symptoms involving female genital tract
R26,350.2,350-350.99," Other symptoms, reflex"
P03.8,658,658-658.99,Maternal complication of pregnancy affecting fetus or newborn
H44.7,1001,,
C03.0,145.4,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx"
O21.9,643,643-643.99,Excessive vomiting in pregnancy
A24.0,41,,
I44.2,426.24,426-427.99, cardiac conduction disorders
F10.4,290.2,290-292.99, dementia and related cognitive disorders/symptoms
E28.1,256,251-259.99,Other endocrine disorders
T52.3,981,981-989.99, Toxic effects of substances chiefly nonmedicinal as to source
K05.4,523.3,520-526.99, Disorders of teeth and jaw
M92.5,736,735-739.99, Acquired deformities
M92.5,732.1,730-739.99,"OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
N71.0,614.4,614-616.99,INFLAMMATORY DISEASE OF FEMALE PELVIC ORGANS
K12.1,528.11,527-529.99, Diseases of mouth; excluding dental
S50-S59.9,1009,,
S52.1,803.2,800-809.99, Fractures
T07,1009,,
L03.3,681.7,680-686.99, Skin and subcutaneous tissue infections
Q04.6,752.2,752-754.99," congenital anomalies of nervous system, spine"
G60.1,356,356-359.99, Disorders of the peripheral nervous system
P10-P15.9,665,660-669.99,COMPLICATIONS OCCURRING MAINLY IN THE COURSE OF LABOR AND DELIVERY
N04.3,580.11,580-590.99, diseases of kidney and ureters
B81.0,134.1,130-136.99, Other infections; including parasitic
A16.2,10,,
H95.8,388,387-389.99, Hearing loss and related disorders
S35.9,915,910-919.99,"superficial, contusion, crushing injuries"
O89,668,660-669.99,COMPLICATIONS OCCURRING MAINLY IN THE COURSE OF LABOR AND DELIVERY
L74.2,705,705-706.99, disorders of sweat and sebaceous glands
S35.9,1009,,
Y58.6,941,930-949.99, allergic reactions
D50.9,280.1,280-285.99,Anemias
R84.5,1010,,
H95.8,385.5,381-385.99, otitis media and related conditions
Q14.3,753.2,752-754.99," congenital anomalies of nervous system, spine"
I34,395.1,394-399.99, heart valve disorders
N32.9,596,595-597.99, other diseases of urinary system
Q65,755.61,754-756.99, congenital musculoskeletal anomalies
S35.9,1007,,
L63,704.11,703-704.99, Diseases of hair and nails
S26.0,1008,,
E84.8,499,499-499.99, Cystic fibrosis (move?)
I71.9,442.1,440-449.99,"DISEASES OF ARTERIES, ARTERIOLES, AND CAPILLARIES"
E27.2,255.21,251-259.99,Other endocrine disorders
C30.1,149.9,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx"
E50.8,261.1,260-264.99,Nutritional deficiencies
N83.5,619.1,619-619.99, Other noninflammatory female genital disorders
A39.8,41,,
T85.3,859,850-859.99, Complications
Q26.4,747.13,747-747.99," congenital anomalies, circulatory and cardiac"
S62.2,804,800-809.99, Fractures
Q77.7,756,754-756.99, congenital musculoskeletal anomalies
R16,579.2,578-579.99, Other diseases of digestive system
G23,333.8,"330-337.99, 341-349.99", hereditary/degenerative nervous conditions; other diseases of CNS
G21.8,349,"330-337.99, 341-349.99", hereditary/degenerative nervous conditions; other diseases of CNS
R16,573.3,570-573.99, Liver disease
C76.1,164,160-165.99,Malignant neoplasm of respiratory and intrathoracic organs
R77.9,790,790-790.99,Nonspecific findings on examination of blood
T47.9,973,960-979.99,"Poisoning By Drugs, Medicinal And Biological Substances"
B08.8,79,,
Q60.0,751.22,750-751.99," congenital anomalies of gi, urinary tract"
D13.5,211,"211-211.99, 150-159.99",Cancer/benign neoplams of digestive system
D56.4,282.8,280-285.99,Anemias
N72,614.51,614-616.99,INFLAMMATORY DISEASE OF FEMALE PELVIC ORGANS
N34.2,592.2,590-593.99, Urinary tract infections
M33.9,709.5,"690-697.99, 708-709.99",
A83.6,323,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
A17.0,10,,
R22.4,771,771-771.99, Musculoskeletal symptoms referable to limbs
K03.2,521.2,520-526.99, Disorders of teeth and jaw
M34.1,709.3,"690-697.99, 708-709.99",
M67.1,727.7,725-729.99,"Rheumatism, Excluding The Back"
I26,415.11,415-417.99,DISEASES OF PULMONARY CIRCULATION
C46.7,230,230-230.99, Kaposi's sarcoma
P27,656.2,656-656.99,Other and unspecified perinatal conditions
B20.3,71.1,,
I74.1,444,440-449.99,"DISEASES OF ARTERIES, ARTERIOLES, AND CAPILLARIES"
T82.1,854,850-859.99, Complications
M60-M79.9,729,725-729.99,"Rheumatism, Excluding The Back"
S35.4,1007,,
N98,1011,,
J67.2,500.1,500-509.99, Pneumoconioses and other lung diseases
K52.8,561.1,555-564.99, noninfective gastrointestinal disorders
E63.1,263,260-264.99,Nutritional deficiencies
C90.1,204,200-204.99, cancer of lymphatic and hematopoietic tissue
Q01.1,752.1,752-754.99," congenital anomalies of nervous system, spine"
O36.5,634,634-636.99,complications of pregnancy
C34,165.1,160-165.99,Malignant neoplasm of respiratory and intrathoracic organs
D22.6,216,216-217.99,Benign neoplasm of skin
H80.0,383,381-385.99, otitis media and related conditions
F64,302,295-306.99, psychological disorders
T82.6,81,,
N34.1,90,,
J66.2,500.1,500-509.99, Pneumoconioses and other lung diseases
Y58.9,941,930-949.99, allergic reactions
B83.0,134,130-136.99, Other infections; including parasitic
S56.3,1009,,
D36.0,229.1,229-229.99,Benign neoplasm of other and unspecified sites
M95.2,738,735-739.99, Acquired deformities
G93.0,348.4,"330-337.99, 341-349.99", hereditary/degenerative nervous conditions; other diseases of CNS
H02.2,374.2,369-374.99, infection/inflammation of eye
E13.3,250.7,"250.70-250.79,360-365.99", diabetic retinopathy and degenerative disorders of the eye
K22.6,530.7,"530-530.99, 532-532.99", esophageal disorders
O30.2,651,651-651.99,Multiple gestation
M11.8,274.2,274-274.99,Gout
S14.6,907,905-909.99,"Late effects of injuries, poisonings, toxic effects, and other external causes"
T82.6,854,850-859.99, Complications
Q79.5,756.1,754-756.99, congenital musculoskeletal anomalies
P91.3,656,656-656.99,Other and unspecified perinatal conditions
B97.8,79,,
H52.5,368.7,368-368.99,Visual disturbances/defects
R78.5,1010,,
M45-M49.9,721.8,720-724.99,DORSOPATHIES
D61.1,284,280-285.99,Anemias
L21.8,690.1,690-697.99, Other inflammatory condition of skin
D45,200.1,"200-204.99, 289-289.99",
H15.0,379.1,375-379.99, other eye disorders
D20.1,215,214-215.99,Lipoma and Other benign neoplasm of connective and other soft tissue
S35.5,1007,,
B60.2,136,130-136.99, Other infections; including parasitic
P57.0,656.1,656-656.99,Other and unspecified perinatal conditions
P36.4,657,657-657.99,Infections specific to the perinatal period
M16.1,740.11,740-740.99, osteoarthritis
A40,38.1,,
O29.5,646,646-646.99, Other complications of pregnancy NEC
O28,656,656-656.99,Other and unspecified perinatal conditions
H25,366.2,366-366.99,Cataract
J20.2,41.2,,
I71.4,442.11,440-449.99,"DISEASES OF ARTERIES, ARTERIOLES, AND CAPILLARIES"
P83.2,656.7,656-656.99,Other and unspecified perinatal conditions
N90.0,620,620-623.99," dysplasia, hyperplasia, polyp of female genital organs"
F80.8,315.2,312-315.99,Developmental/behavioral disorders
P23.5,656,656-656.99,Other and unspecified perinatal conditions
G60.3,356,356-359.99, Disorders of the peripheral nervous system
T65.4,981,981-989.99, Toxic effects of substances chiefly nonmedicinal as to source
S05.3,870.1,870-879.99, Open wound
Q89.2,759.1,756-759.99, All other congenital anomalies
D07.1,184.2,"174-184.99, 220-221.99", cancer of female genital organs; benign neoplasm of female genital organs
Q24.0,747.1,747-747.99," congenital anomalies, circulatory and cardiac"
J20.4,483,480-488.99, Pneumonia and influenza
J20.4,79,,
K29.8,535.6,535-537.99, disorders of stomach
N49.1,601.8,"185-187.99, 796-796.99, 600-602.99", male genital disorders/cancer/neoplasms; elevated psa
A42.0,480.1,480-488.99, Pneumonia and influenza
O14.1,642.1,642-642.99," Hypertension complicating pregnancy, childbirth, and the puerperium"
H35.6,362.8,"250.70-250.79,360-365.99", diabetic retinopathy and degenerative disorders of the eye
F18.9,290.3,290-292.99, dementia and related cognitive disorders/symptoms
P57.9,656,656-656.99,Other and unspecified perinatal conditions
O08.5,639,634-639.99," miscarriage, early labor, hemorrhage"
K50.1,555.1,555-564.99, noninfective gastrointestinal disorders
P23,656,656-656.99,Other and unspecified perinatal conditions
S62.5,804,800-809.99, Fractures
C78,198,195-199.99,"Neoplasms: malignant, secondary or uncertain"
G54.3,353.2,351-355.99, mononeuritis and nerve lesions
G40.3,345.11,"330-337.99, 341-349.99", hereditary/degenerative nervous conditions; other diseases of CNS
K75.3,70.9,,
N76.8,614.5,614-616.99,INFLAMMATORY DISEASE OF FEMALE PELVIC ORGANS
L60.2,703,703-704.99, Diseases of hair and nails
C32.2,149.4,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx"
B95.0,41.2,,
B53.1,133,130-136.99, Other infections; including parasitic
Q84.3,757,756-759.99, All other congenital anomalies
B96.1,480.1,480-488.99, Pneumonia and influenza
P92.1,656.3,656-656.99,Other and unspecified perinatal conditions
D00.0,145,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx"
P10.3,656.4,656-656.99,Other and unspecified perinatal conditions
L40,696.4,"690-697.99, 714-714.99",
O26.9,646,646-646.99, Other complications of pregnancy NEC
H30.8,371.1,369-374.99, infection/inflammation of eye
Y43,963,960-979.99,"Poisoning By Drugs, Medicinal And Biological Substances"
D35.6,227,"193-194.99, 226-227.99"," Cancer/benign tumor of thyroid gland, other endocrine glands"
R63.3,1002,,
H20,371.1,369-374.99, infection/inflammation of eye
Y41.5,961,960-979.99,"Poisoning By Drugs, Medicinal And Biological Substances"
I70.0,440.9,440-449.99,"DISEASES OF ARTERIES, ARTERIOLES, AND CAPILLARIES"
S02.0,819,816-819.99, Intracranial injury
A65,130,130-136.99, Other infections; including parasitic
J66.0,500.1,500-509.99, Pneumoconioses and other lung diseases
D89.2,289,288-289.99,Other diseases of the blood
F50.9,305.2,295-306.99, psychological disorders
B51.8,133,130-136.99, Other infections; including parasitic
P08.1,658,658-658.99,Maternal complication of pregnancy affecting fetus or newborn
T85.5,859,850-859.99, Complications
D80.5,279.11,279-279.99,Other Immune Disorders
T34.1,1014,,
J12.0,480.2,480-488.99, Pneumonia and influenza
Q02,752.2,752-754.99," congenital anomalies of nervous system, spine"
A63.8,90,,
F19.4,290.3,290-292.99, dementia and related cognitive disorders/symptoms
E14.9,250,249-250.99,DIABETES
N80.8,615,614-616.99,INFLAMMATORY DISEASE OF FEMALE PELVIC ORGANS
N36.2,597,595-597.99, other diseases of urinary system
F60.1,301.1,295-306.99, psychological disorders
R45.4,1004,,
E14.9,250.2,249-250.99,DIABETES
L53.9,695.9,690-697.99, Other inflammatory condition of skin
T21.3,1000,,
P24,656,656-656.99,Other and unspecified perinatal conditions
Q06.4,752.2,752-754.99," congenital anomalies of nervous system, spine"
Y53.5,979,960-979.99,"Poisoning By Drugs, Medicinal And Biological Substances"
D31.0,224,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system"
P24,656.2,656-656.99,Other and unspecified perinatal conditions
Y53.5,973,960-979.99,"Poisoning By Drugs, Medicinal And Biological Substances"
F45.4,303.4,295-306.99, psychological disorders
L90.6,701,700-701.99, hypertrophic skin conditions
K46.9,550,550-550.99, Abdominal hernia
M35.0,709.2,"690-697.99, 708-709.99",
K46.9,550.5,550-550.99, Abdominal hernia
H34.1,362.4,"250.70-250.79,360-365.99", diabetic retinopathy and degenerative disorders of the eye
S57.0,1006,,
G37,341,"330-337.99, 341-349.99", hereditary/degenerative nervous conditions; other diseases of CNS
Q60.5,751.22,750-751.99," congenital anomalies of gi, urinary tract"
K14.3,529,527-529.99, Diseases of mouth; excluding dental
P27.1,656.2,656-656.99,Other and unspecified perinatal conditions
Q44.7,750.22,750-751.99," congenital anomalies of gi, urinary tract"
B67.3,134.1,130-136.99, Other infections; including parasitic
K60.2,565,565-569.99, Other gastrointestinal
Z20.3,1010,,
M90.0,10,,
P61.3,656.5,656-656.99,Other and unspecified perinatal conditions
O15.1,642.1,642-642.99," Hypertension complicating pregnancy, childbirth, and the puerperium"
K07.2,524.3,520-526.99, Disorders of teeth and jaw
F32.0,296.2,295-306.99, psychological disorders
Q36,749.1,747-759.99,
Y53.6,973,960-979.99,"Poisoning By Drugs, Medicinal And Biological Substances"
P29.2,656,656-656.99,Other and unspecified perinatal conditions
G11.0,334.1,"330-337.99, 341-349.99", hereditary/degenerative nervous conditions; other diseases of CNS
G83.3,344,"330-337.99, 341-349.99", hereditary/degenerative nervous conditions; other diseases of CNS
K42.9,550.4,550-550.99, Abdominal hernia
I49.1,427.61,426-427.99, cardiac conduction disorders
D81.9,279.1,279-279.99,Other Immune Disorders
B88.9,132,130-136.99, Other infections; including parasitic
H60.1,380.1,380-380.99, disorders of external ear
F60.5,301.1,295-306.99, psychological disorders
B35.5,110.13,110-118.99, Mycoses
M21.5,736,735-739.99, Acquired deformities
D80-D89.9,697,690-697.99, Other inflammatory condition of skin
M81.8,743.13,743-744.99," osteopenia, osteoporosis, pathological fractures"
R82.7,598.9,598-598.99, Nonspecific findings on examination of urine
B16.0,70.2,,
T69.8,1014,,
K44,550.2,550-550.99, Abdominal hernia
F44,303.1,295-306.99, psychological disorders
S52.5,803.2,800-809.99, Fractures
T82.8,854,850-859.99, Complications
K11.9,527,527-529.99, Diseases of mouth; excluding dental
P23.2,656,656-656.99,Other and unspecified perinatal conditions
R85.3,1010,,
T26.2,1000,,
N76.2,614.52,614-616.99,INFLAMMATORY DISEASE OF FEMALE PELVIC ORGANS
Q52.2,751.11,750-751.99," congenital anomalies of gi, urinary tract"
I42.6,425.8,420-425.99, Other peri-; endo-; and myocarditis
T42.4,969,960-979.99,"Poisoning By Drugs, Medicinal And Biological Substances"
N30.1,592.13,590-593.99, Urinary tract infections
A75.2,136,130-136.99, Other infections; including parasitic
Q45.1,750.22,750-751.99," congenital anomalies of gi, urinary tract"
D23.7,216,216-217.99,Benign neoplasm of skin
G11.8,334.1,"330-337.99, 341-349.99", hereditary/degenerative nervous conditions; other diseases of CNS
